driver_age_band,driver_sex,driver_experience,driver_education,driver_vehicle_relation,vehicle_type,vehicle_owner,vehicle_service_year,vehicle_defect,weather,road_surface,light_condition,time_of_day,synthetic_severity_label
31-50,Male,Above 10yr,Junior high school,Owner,Motorcycle,Governmental,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,No Licence,Writing & reading,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Female,Above 10yr,High school,Unknown,Bajaj,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Owner,Public (12 seats),Organization,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Illiterate,Other,Lorry,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,High school,Owner,Unknown,Owner,2-5yrs,No defect,Windy,Gravel,Daylight,Morning,Slight
18-30,Male,Above 10yr,Elementary school,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Junior high school,Owner,Motorcycle,Other,Unknown,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
18-30,Male,Above 10yr,Elementary school,Owner,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Automobile,Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,Above 10yr,High school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,Below 1yr,Elementary school,Owner,Bajaj,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,1-2yr,Elementary school,Other,Automobile,Owner,Below 1yr,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
Under 18,Female,Above 10yr,Junior high school,Other,Motorcycle,Owner,2-5yrs,No defect,Other,Asphalt,Darkness - lit,Morning,Slight
31-50,Female,5-10yr,High school,Owner,Automobile,Other,Above 10yr,Unknown,Raining,Asphalt,Daylight,Evening,Slight
Over 51,Male,1-2yr,Elementary school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Elementary school,Other,Automobile,Governmental,5-10yrs,No defect,Normal,Earth,Daylight,Evening,Slight
31-50,Male,Unknown,High school,Owner,Public (>45 seats),Organization,1-2yr,No defect,Raining,Asphalt,Daylight,Morning,Slight
Unknown,Male,2-5yr,High school,Employee,Other,Governmental,Above 10yr,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Unknown,No Licence,High school,Owner,Automobile,Owner,5-10yrs,No defect,Cloudy,Gravel,Daylight,Evening,Slight
18-30,Male,No Licence,Elementary school,Other,Unknown,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
18-30,Male,2-5yr,Junior high school,Employee,Automobile,Other,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Above high school,Owner,Public (12 seats),Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,Below 1yr,High school,Employee,Automobile,Organization,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
