id,ps_ind_01,ps_ind_03,ps_ind_15,ps_ind_02_cat,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_16_bin,ps_ind_17_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_04_cat,ps_car_07_cat,ps_car_12,ps_car_13,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_15_bin,ps_calc_16_bin,target
1,0,7,13,4,0,6,1,1,1,0,1,0.3,0.2,0.849,8,3,0,0.866,3.1352,2.4495,0.5,0.2,0.8,1,0,0
2,6,8,7,3,1,5,1,0,0,1,1,0.0,0.5,0.8,10,5,1,1.0054,3.1253,1.4142,0.6,0.1,0.9,0,1,1
3,5,3,0,3,0,1,0,0,0,0,1,0.7,0.6,2.99,9,4,1,1.1955,2.5154,2.8284,0.4,0.7,0.2,1,1,0
4,3,4,12,2,1,-1,1,1,1,1,1,0.6,1.6,1.258,11,5,1,0.2384,3.355,0.0,0.5,0.7,0.2,1,0,0
5,3,11,13,4,1,2,0,1,0,0,1,0.3,1.7,2.962,5,5,0,0.5237,1.6123,2.6458,0.8,0.8,0.7,1,0,0
6,6,10,3,1,0,3,0,0,1,1,1,0.7,0.1,2.27,0,2,0,1.0797,2.3833,2.8284,0.8,0.6,0.6,1,1,1
7,0,4,5,2,0,2,0,0,1,0,0,0.7,1.6,2.028,6,5,0,1.0798,1.8193,3.3166,0.1,0.1,0.3,1,0,0
8,5,2,0,4,0,0,1,0,1,1,0,0.1,1.5,3.616,1,1,1,0.8356,2.7302,2.2361,0.8,0.9,0.3,1,0,1
9,1,3,11,2,0,3,0,0,0,0,0,0.4,0.3,2.312,1,6,1,0.2686,0.996,0.0,0.0,0.9,0.3,0,0,0
10,0,6,10,1,0,2,1,1,0,1,0,0.2,0.9,0.947,2,2,1,0.8453,3.123,1.4142,0.7,0.2,0.5,0,0,0
11,4,6,0,2,1,2,1,1,0,0,1,0.2,0.9,3.934,1,8,1,1.1076,3.1658,1.4142,0.4,0.1,0.0,0,0,0
12,7,2,9,2,0,5,0,1,0,1,1,0.3,0.4,1.241,11,8,1,0.2227,2.4155,2.4495,0.7,0.7,0.5,1,1,0
13,5,0,5,3,1,2,1,0,0,0,0,0.1,0.7,1.895,6,5,0,0.4332,1.0849,2.0,0.6,0.5,0.7,1,1,0
14,6,5,7,1,0,6,0,0,0,0,0,0.7,0.3,1.506,11,5,1,1.1337,2.5783,1.7321,0.7,0.2,0.0,1,1,0
