feature,mean_abs_shap
ordinal__time_of_day,0.03322651550508861
ordinal__driver_experience,0.029489822621341397
ordinal__driver_age_band,0.025752543382302765
onehot__weather_Normal,0.023618761846047425
onehot__vehicle_type_Automobile,0.021295804812669034
onehot__vehicle_defect_No defect,0.018304935237722367
onehot__light_condition_Darkness - lights lit,0.015357889009369591
ordinal__vehicle_service_year,0.015185274113179815
onehot__light_condition_Daylight,0.013841291178326505
onehot__vehicle_type_Lorry,0.012895575122747032
onehot__vehicle_type_Public_transport,0.012319735002602212
onehot__vehicle_owner_Owner,0.011295697473619578
onehot__vehicle_defect_Unknown,0.010880659539044081
onehot__driver_vehicle_relation_Employee,0.00998861147236447
onehot__driver_vehicle_relation_Owner,0.009073044112949331
onehot__road_surface_Asphalt roads,0.007012559818941399
onehot__vehicle_type_Unknown,0.0069003003037561295
onehot__weather_Raining,0.006808871016206065
onehot__vehicle_type_Other,0.006134312651824856
onehot__vehicle_type_Pickup,0.006023460544218877
onehot__vehicle_owner_Governmental,0.005524893214052806
onehot__vehicle_type_Motorcycle,0.002827720877334867
onehot__light_condition_Darkness - no lighting,0.0025810455565666505
onehot__road_surface_Earth roads,0.002322348134144776
onehot__vehicle_owner_Unknown,0.0017282515023610981
onehot__weather_Unknown,0.00170917296710938
onehot__road_surface_Gravel roads,0.001520501248603459
onehot__vehicle_owner_Organization,0.0015184563834284447
onehot__driver_vehicle_relation_Unknown,0.0014600714636239251
onehot__vehicle_type_Taxi,0.0011508236152146653
onehot__road_surface_Asphalt roads with some distress,0.0009752043463744377
onehot__driver_vehicle_relation_Other,0.0006502483884519503
onehot__weather_Other,0.0006487630099970869
onehot__road_surface_Other,0.0006256435998727695
onehot__weather_Windy,0.00047525959816204394
onehot__road_surface_Unknown,0.00031295138384493506
onehot__vehicle_defect_7,0.00024154220878354267
onehot__weather_Cloudy,0.00018191621226450657
onehot__light_condition_Darkness - lights unlit,0.0001794372213585058
onehot__vehicle_defect_5,0.0001633561273108129
onehot__weather_Snow,0.00010916226002369432
onehot__vehicle_type_Bajaj,7.666285249441603e-05
onehot__vehicle_type_Bicycle,5.416944452701771e-05
onehot__weather_Raining and Windy,2.9169959376507163e-05
onehot__vehicle_owner_Other,2.632734931402412e-05
onehot__weather_Fog or mist,3.173126293520196e-06
