feature,mean_abs_shap
ordinal__time_of_day,0.0390516460105154
ordinal__driver_experience,0.03700698813221054
ordinal__driver_age_band,0.03207767212262774
onehot__vehicle_defect_No defect,0.022497521617446316
ordinal__vehicle_service_year,0.022000827995852578
onehot__vehicle_type_Automobile,0.02100811595242374
onehot__light_condition_Darkness - lights lit,0.016356184978657148
onehot__light_condition_Daylight,0.01568790797207208
onehot__vehicle_type_Public_transport,0.01550500611609219
onehot__vehicle_type_Lorry,0.015348075540994214
onehot__weather_Normal,0.014563761253568976
onehot__vehicle_defect_Unknown,0.0133055793806019
onehot__driver_vehicle_relation_Owner,0.012677627264298746
onehot__driver_vehicle_relation_Employee,0.012047220444591089
onehot__vehicle_owner_Owner,0.009987240340615471
onehot__vehicle_type_Pickup,0.0076758519101056775
onehot__weather_Raining,0.007292245627853788
onehot__vehicle_type_Other,0.007087476743046288
onehot__vehicle_type_Unknown,0.0070546607568671635
onehot__road_surface_Asphalt roads,0.006580253145439373
onehot__vehicle_owner_Governmental,0.0064955795622651065
onehot__vehicle_type_Motorcycle,0.0033996583850652087
onehot__road_surface_Earth roads,0.002651574667606885
onehot__light_condition_Darkness - no lighting,0.0026235233272905133
onehot__weather_Unknown,0.0024799455893410077
onehot__road_surface_Gravel roads,0.0024030498903083474
onehot__vehicle_owner_Unknown,0.0019292791964697592
onehot__vehicle_owner_Organization,0.0018694574820754426
onehot__vehicle_type_Taxi,0.0017194610796798131
onehot__driver_vehicle_relation_Unknown,0.0016858004028560704
onehot__road_surface_Asphalt roads with some distress,0.0011612980399299906
onehot__driver_vehicle_relation_Other,0.0008277847332007561
onehot__weather_Other,0.0007934206151763382
onehot__road_surface_Other,0.0006188150108688878
onehot__weather_Windy,0.0005217109684856734
onehot__road_surface_Unknown,0.00046104476664714613
onehot__vehicle_defect_5,0.00028262336423902595
onehot__weather_Cloudy,0.00023617577304432986
onehot__vehicle_defect_7,0.0002313685041399142
onehot__light_condition_Darkness - lights unlit,0.00021406952161597036
onehot__vehicle_type_Bajaj,0.00013167021522871638
onehot__vehicle_type_Bicycle,0.00012491273385188264
onehot__weather_Snow,9.30830357533994e-05
onehot__weather_Raining and Windy,1.4502924422956606e-05
onehot__vehicle_owner_Other,1.3925726924440622e-05
onehot__weather_Fog or mist,3.599921193471885e-06
