feature,mean_abs_shap
ordinal__time_of_day,0.022303246488040572
onehot__weather_Normal,0.02151649122271779
onehot__vehicle_defect_No defect,0.017842520422590265
ordinal__driver_experience,0.015963503343443434
onehot__light_condition_Darkness - lights lit,0.012333485929831838
onehot__light_condition_Daylight,0.01215335557542712
ordinal__driver_age_band,0.011838019477182386
onehot__vehicle_owner_Owner,0.009003404077763042
onehot__vehicle_type_Automobile,0.008921829946725435
onehot__vehicle_defect_Unknown,0.008365682452587677
onehot__road_surface_Asphalt roads,0.007490891990406387
onehot__vehicle_type_Public_transport,0.005965380827358215
onehot__vehicle_type_Lorry,0.005391722470474714
onehot__driver_vehicle_relation_Owner,0.005077136912237143
onehot__driver_vehicle_relation_Employee,0.005036392545992332
ordinal__vehicle_service_year,0.003779895405788
onehot__vehicle_type_Unknown,0.0033436424927585245
onehot__weather_Raining,0.0032190653998524924
onehot__vehicle_owner_Governmental,0.0030678076850450646
onehot__vehicle_type_Pickup,0.002611400575431694
onehot__vehicle_type_Other,0.0015002644973025462
onehot__vehicle_type_Motorcycle,0.001340643530897483
onehot__light_condition_Darkness - no lighting,0.0009837767484521685
onehot__road_surface_Earth roads,0.0008856651278881483
onehot__vehicle_owner_Organization,0.0007364312502191828
onehot__driver_vehicle_relation_Unknown,0.0005945473254230979
onehot__weather_Unknown,0.0005637699347894548
onehot__vehicle_owner_Unknown,0.0005263790348302228
onehot__weather_Other,0.0004994568250057306
onehot__road_surface_Gravel roads,0.00040051917379741695
onehot__vehicle_type_Taxi,0.00037303124221611567
onehot__road_surface_Asphalt roads with some distress,0.00019202202222649948
onehot__driver_vehicle_relation_Other,0.00015339895024784304
onehot__road_surface_Other,9.009884517049814e-05
onehot__road_surface_Unknown,8.64962379651663e-05
onehot__weather_Windy,8.526773730843204e-05
onehot__weather_Cloudy,7.595418617643775e-05
onehot__vehicle_defect_7,5.180742990653157e-05
onehot__light_condition_Darkness - lights unlit,4.743702658028725e-05
onehot__weather_Snow,2.2751698033885376e-05
onehot__vehicle_defect_5,2.1527863722767288e-05
onehot__vehicle_owner_Other,5.332778799789875e-06
onehot__weather_Raining and Windy,2.1472395435185933e-06
onehot__vehicle_type_Bajaj,1.4112836353918874e-06
onehot__vehicle_type_Bicycle,8.54340538519235e-07
onehot__weather_Fog or mist,0.0
