feature,mean_abs_shap
ordinal__driver_experience,0.04489197769015326
ordinal__time_of_day,0.04199236542063351
ordinal__driver_age_band,0.04166298369597446
onehot__weather_Normal,0.032308717001115775
onehot__vehicle_type_Automobile,0.021499089611349456
onehot__light_condition_Darkness - lights lit,0.016989260159417083
onehot__vehicle_type_Lorry,0.015004608880933933
onehot__road_surface_Asphalt roads,0.012673285235070492
onehot__light_condition_Daylight,0.01209079173482153
onehot__vehicle_type_Public_transport,0.010736274999764154
onehot__weather_Raining,0.009247742159902105
onehot__vehicle_type_Unknown,0.007046371470514271
onehot__vehicle_type_Other,0.0070238197192688335
onehot__vehicle_type_Pickup,0.006890210635002172
onehot__road_surface_Earth roads,0.002930217046055567
onehot__vehicle_type_Motorcycle,0.002719148487706706
onehot__light_condition_Darkness - no lighting,0.002587209903467415
onehot__weather_Unknown,0.002264010457643539
onehot__road_surface_Gravel roads,0.002156760876949998
onehot__vehicle_type_Taxi,0.0020336489787938163
onehot__weather_Other,0.0014790512715486496
onehot__road_surface_Asphalt roads with some distress,0.001041061945781089
onehot__road_surface_Other,0.0008529558559759292
onehot__road_surface_Unknown,0.0006742409289168444
onehot__weather_Windy,0.0005037690959686727
onehot__weather_Cloudy,0.0004793765545641061
onehot__weather_Snow,0.00038220718103647864
onehot__light_condition_Darkness - lights unlit,0.00019227785532007017
onehot__vehicle_type_Bajaj,0.0001481287236745933
onehot__vehicle_type_Bicycle,7.658146469311808e-05
onehot__weather_Raining and Windy,5.914388308632079e-05
onehot__weather_Fog or mist,5.268917914532818e-05
