driver_age_band,driver_experience,time_of_day,vehicle_type,weather,road_surface,light_condition,Accident_severity
18-30,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
18-30,5-10yr,Night,Public_transport,Normal,Earth roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Night,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Unknown,Afternoon,Unknown,Normal,Unknown,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Automobile,Normal,Unknown,Daylight,Slight Injury
18-30,1-2yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Serious Injury
31-50,No Licence,Afternoon,Automobile,Normal,Earth roads,Daylight,Serious Injury
18-30,1-2yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Lorry,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,5-10yr,Evening,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Evening,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,Below 1yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
Under 18,2-5yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
31-50,Above 10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Serious Injury
18-30,2-5yr,Evening,Taxi,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Evening,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Unknown,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Below 1yr,Evening,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Unknown,Evening,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Below 1yr,Afternoon,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Evening,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Above 10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Public_transport,Normal,Gravel roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
31-50,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Below 1yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
Over 51,1-2yr,Afternoon,Lorry,Raining,Gravel roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Evening,Public_transport,Normal,Earth roads,Daylight,Slight Injury
31-50,Above 10yr,Evening,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Automobile,Normal,Unknown,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Gravel roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Evening,Lorry,Normal,Unknown,Darkness - lights lit,Slight Injury
31-50,5-10yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
Over 51,Unknown,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Evening,Unknown,Normal,Earth roads,Darkness - lights lit,Slight Injury
Under 18,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
31-50,1-2yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
Over 51,2-5yr,Afternoon,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,Unknown,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,1-2yr,Evening,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Evening,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Below 1yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
31-50,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Fatal Injury
18-30,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Other,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Public_transport,Normal,Gravel roads,Daylight,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Above 10yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Above 10yr,Evening,Other,Normal,Earth roads,Darkness - lights lit,Slight Injury
18-30,Unknown,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Evening,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,Above 10yr,Evening,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Serious Injury
Under 18,5-10yr,Evening,Other,Normal,Asphalt roads,Darkness - no lighting,Serious Injury
Over 51,1-2yr,Evening,Public_transport,Normal,Asphalt roads,Darkness - lights unlit,Slight Injury
31-50,5-10yr,Evening,Other,Normal,Asphalt roads,Darkness - lights unlit,Slight Injury
31-50,5-10yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights unlit,Slight Injury
18-30,2-5yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Other,Normal,Earth roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Above 10yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Below 1yr,Night,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Night,Public_transport,Normal,Earth roads,Darkness - lights lit,Slight Injury
31-50,2-5yr,Evening,Automobile,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Above 10yr,Evening,Pickup,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
Under 18,5-10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Lorry,Normal,Other,Daylight,Slight Injury
18-30,Unknown,Night,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,1-2yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,5-10yr,Evening,Other,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,2-5yr,Night,Lorry,Normal,Asphalt roads,Darkness - no lighting,Serious Injury
18-30,5-10yr,Afternoon,Lorry,Normal,Earth roads,Daylight,Slight Injury
31-50,Below 1yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Morning,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
31-50,Unknown,Morning,Automobile,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
Under 18,Below 1yr,Afternoon,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,5-10yr,Night,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Night,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Night,Pickup,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,5-10yr,Morning,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Night,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Night,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Night,Bajaj,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,1-2yr,Night,Automobile,Raining and Windy,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,2-5yr,Afternoon,Lorry,Cloudy,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Cloudy,Unknown,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Automobile,Cloudy,Asphalt roads,Daylight,Slight Injury
Under 18,Unknown,Afternoon,Unknown,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
Under 18,Above 10yr,Afternoon,Automobile,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
Under 18,Above 10yr,Night,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Night,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Unknown,Evening,Other,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
31-50,5-10yr,Evening,Automobile,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
31-50,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
18-30,2-5yr,Evening,Public_transport,Normal,Gravel roads,Darkness - lights lit,Slight Injury
Over 51,Above 10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
Over 51,5-10yr,Afternoon,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Above 10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Lorry,Other,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Pickup,Raining,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Unknown,Afternoon,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Unknown,Night,Unknown,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,1-2yr,Evening,Automobile,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,2-5yr,Evening,Automobile,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,Unknown,Afternoon,Other,Windy,Other,Darkness - no lighting,Slight Injury
18-30,2-5yr,Evening,Automobile,Raining,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,5-10yr,Evening,Pickup,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
18-30,5-10yr,Evening,Automobile,Raining,Unknown,Darkness - lights lit,Slight Injury
18-30,2-5yr,Evening,Lorry,Raining,Other,Darkness - lights lit,Slight Injury
18-30,2-5yr,Evening,Lorry,Raining,Asphalt roads,Darkness - no lighting,Slight Injury
18-30,2-5yr,Evening,Lorry,Raining,Asphalt roads,Darkness - no lighting,Slight Injury
31-50,5-10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
18-30,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
18-30,2-5yr,Afternoon,Automobile,Normal,Asphalt roads with some distress,Daylight,Slight Injury
Over 51,2-5yr,Afternoon,Automobile,Normal,Unknown,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Below 1yr,Evening,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,1-2yr,Evening,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
