ps_ind_02_cat,ps_ind_04_cat,ps_ind_05_cat,ps_car_01_cat,ps_car_04_cat,ps_car_07_cat,ps_ind_01,ps_ind_03,ps_ind_15,ps_ind_06_bin,ps_ind_07_bin,ps_ind_16_bin,ps_ind_17_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_12,ps_car_13,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_15_bin,ps_calc_16_bin,target
4,0,6,8,3,0,0,7,13,1,1,0,1,0.3,0.2,0.849,0.866,3.1352,2.4495,0.5,0.2,1,0,No claim
3,1,5,10,5,1,6,8,7,1,0,1,1,0.0,0.5,0.8,1.0054,3.1253,1.4142,0.6,0.1,0,1,Claim
2,0,2,6,5,0,0,4,5,0,0,0,0,0.7,1.6,2.028,1.0798,1.8193,3.3166,0.1,0.1,1,0,No claim
4,0,0,1,1,1,5,2,0,1,0,1,0,0.1,1.5,3.616,0.8356,2.7302,2.2361,0.8,0.9,1,0,Claim
1,0,2,2,2,1,0,6,10,1,1,1,0,0.2,0.9,0.947,0.8453,3.123,1.4142,0.7,0.2,0,0,No claim
2,1,2,1,8,1,4,6,0,1,1,0,1,0.2,0.9,3.934,1.1076,3.1658,1.4142,0.4,0.1,0,0,No claim
2,0,5,11,8,1,7,2,9,0,1,1,1,0.3,0.4,1.241,0.2227,2.4155,2.4495,0.7,0.7,1,1,No claim
4,1,3,6,3,0,6,1,11,0,1,1,1,0.8,0.6,1.857,0.2638,0.5336,1.4142,0.9,0.2,0,1,No claim
4,0,2,8,8,0,1,1,11,1,1,1,1,0.5,0.9,2.589,1.0522,0.7026,3.6056,0.6,0.9,0,1,No claim
1,1,4,5,1,1,6,2,2,0,0,1,0,0.5,0.9,1.969,0.6395,2.0222,2.4495,0.8,0.3,1,1,No claim
2,1,5,5,9,1,3,7,8,0,0,1,1,0.2,0.3,0.07,0.9935,0.9173,1.4142,0.7,0.1,1,0,No claim
3,0,2,11,5,0,4,3,4,0,0,0,1,0.1,0.0,2.58,0.8286,1.4857,3.3166,0.7,0.3,1,1,No claim
4,1,4,10,6,0,2,3,13,1,1,0,1,0.3,1.0,0.636,0.4711,1.0431,2.6458,0.9,0.8,0,1,Claim
2,0,4,6,0,0,1,11,7,0,1,1,0,0.6,0.5,3.842,0.6576,3.3801,0.0,0.9,0.8,0,0,No claim
1,0,3,1,1,1,7,2,10,0,1,1,0,0.8,0.1,2.977,0.8714,1.0736,3.3166,0.6,0.1,0,0,No claim
3,1,1,0,1,1,3,6,1,1,1,0,0,0.8,1.1,1.311,0.3432,3.4607,3.0,0.1,0.9,0,1,No claim
1,0,3,-1,3,1,6,0,5,0,1,0,1,0.3,1.3,2.606,1.1553,2.1092,3.6056,0.5,0.4,1,0,No claim
2,1,2,5,0,1,3,6,0,1,1,1,1,0.0,1.2,2.991,0.2575,2.7096,0.0,0.1,0.4,0,1,No claim
2,0,1,9,7,1,3,3,8,0,0,0,0,0.2,0.8,3.081,1.2585,0.6017,3.0,0.3,0.6,1,1,No claim
1,1,3,6,9,0,1,6,3,1,1,0,0,0.0,1.6,0.521,1.0163,2.4922,2.2361,0.5,0.0,1,0,Claim
2,1,0,2,8,1,0,7,7,0,1,0,0,0.6,0.5,0.917,1.2153,1.7614,2.4495,0.1,0.6,0,1,No claim
4,0,3,10,3,0,0,5,9,0,0,1,1,0.6,0.6,3.434,0.3993,0.701,1.7321,0.1,0.6,1,0,No claim
3,1,1,1,3,0,6,11,4,0,1,0,1,0.0,1.4,0.162,0.2871,3.3635,3.3166,0.3,0.7,1,1,No claim
3,0,3,2,2,0,6,1,4,1,0,1,1,0.9,0.2,2.468,1.1471,2.825,3.4641,0.3,0.4,0,1,No claim
4,0,1,3,7,0,2,3,8,1,1,0,1,0.9,0.9,2.036,1.0753,2.0531,2.0,0.0,0.1,1,0,Claim
1,0,2,1,2,1,5,8,8,0,1,1,1,0.9,1.1,3.219,0.6922,1.5557,2.8284,0.0,0.7,1,0,No claim
4,1,3,4,5,0,1,10,9,0,0,0,0,0.2,1.7,0.678,1.1326,1.3374,3.4641,0.1,0.3,0,1,Claim
2,1,2,7,2,-1,6,2,2,1,1,0,0,0.6,0.7,0.792,1.172,2.0427,2.2361,0.3,0.9,1,0,No claim
2,1,0,7,3,1,5,11,8,1,0,0,1,0.4,0.9,1.971,0.2101,3.3862,1.0,0.9,0.8,1,0,No claim
2,0,4,9,5,0,2,2,3,0,1,1,1,0.3,1.2,2.417,0.2676,2.1137,2.4495,0.4,0.6,0,0,Claim
4,1,4,11,3,0,3,5,1,0,0,0,1,0.1,0.1,3.372,0.9035,1.5926,1.4142,0.2,0.2,0,1,Claim
1,0,0,7,2,0,7,10,5,1,1,0,1,0.4,0.0,0.503,0.5785,1.3337,1.0,0.3,0.3,1,0,No claim
3,0,2,5,7,1,6,9,3,1,1,1,0,0.5,1.5,3.658,1.2087,1.2814,1.7321,0.8,0.1,0,1,Claim
