feature,mean_abs_shap
numeric__ps_reg_03,0.25543016
numeric__ps_reg_02,0.24171636
numeric__ps_car_13,0.23401016
onehot__ps_car_07_cat_0,0.23004106
numeric__ps_car_12,0.21528648
numeric__ps_car_15,0.19887023
numeric__ps_ind_17_bin,0.18299699
numeric__ps_ind_03,0.16393158
numeric__ps_calc_02,0.16070311
numeric__ps_ind_07_bin,0.15606882
numeric__ps_ind_01,0.14715728
numeric__ps_ind_15,0.1433696
numeric__ps_calc_01,0.13209002
onehot__ps_ind_05_cat_0,0.123185545
numeric__ps_reg_01,0.11290992
onehot__ps_ind_05_cat_4,0.10823184
onehot__ps_ind_02_cat_2,0.10548972
onehot__ps_ind_04_cat_1,0.09727862
onehot__ps_ind_02_cat_4,0.08872616
numeric__ps_ind_06_bin,0.08835603
onehot__ps_ind_02_cat_3,0.077362455
onehot__ps_ind_05_cat_6,0.07573156
onehot__ps_ind_02_cat_1,0.07358829
numeric__ps_ind_16_bin,0.0733804
onehot__ps_ind_05_cat_-1,0.070556566
numeric__ps_calc_16_bin,0.06694066
onehot__ps_car_04_cat_3,0.063855216
onehot__ps_ind_05_cat_5,0.061850086
onehot__ps_car_04_cat_7,0.05979983
onehot__ps_car_01_cat_10,0.054981507
numeric__ps_calc_15_bin,0.050744105
onehot__ps_ind_05_cat_3,0.05003378
onehot__ps_car_01_cat_7,0.04652371
onehot__ps_car_04_cat_4,0.04560583
onehot__ps_car_04_cat_9,0.04531742
onehot__ps_car_04_cat_2,0.04528214
onehot__ps_car_07_cat_1,0.045116812
onehot__ps_car_04_cat_0,0.04478346
onehot__ps_ind_05_cat_1,0.04380975
onehot__ps_car_04_cat_5,0.041658737
onehot__ps_car_01_cat_0,0.041466933
onehot__ps_car_04_cat_8,0.041377347
onehot__ps_car_01_cat_2,0.041076172
onehot__ps_car_01_cat_9,0.040793348
onehot__ps_car_01_cat_11,0.039170597
onehot__ps_car_01_cat_4,0.03908378
onehot__ps_car_01_cat_6,0.03892402
onehot__ps_car_01_cat_8,0.037982002
onehot__ps_ind_05_cat_2,0.03794321
onehot__ps_car_04_cat_6,0.036845814
onehot__ps_car_01_cat_3,0.03454543
onehot__ps_ind_04_cat_0,0.032644957
onehot__ps_car_01_cat_1,0.032224845
onehot__ps_car_04_cat_1,0.029079279
onehot__ps_car_01_cat_5,0.024941169
onehot__ps_car_01_cat_-1,0.022629915
onehot__ps_car_07_cat_-1,0.017425306
onehot__ps_ind_02_cat_-1,0.010369866
onehot__ps_ind_04_cat_-1,0.0034864326
