feature,mean_abs_shap
ordinal__time_of_day,0.03158051167125627
ordinal__driver_experience,0.025188500324442
ordinal__driver_age_band,0.024840637982060907
onehot__weather_Normal,0.02373182334739913
onehot__vehicle_type_Automobile,0.021731877624812143
ordinal__driver_education,0.019471274654320553
onehot__vehicle_defect_No defect,0.01891898157512511
onehot__light_condition_Darkness - lights lit,0.017237076356039896
onehot__light_condition_Daylight,0.014908532508842111
onehot__vehicle_type_Lorry,0.013921113184734098
onehot__vehicle_defect_Unknown,0.013513169578490703
ordinal__vehicle_service_year,0.012978319217184852
onehot__vehicle_type_Public_transport,0.011217543398500654
onehot__driver_vehicle_relation_Owner,0.010294398665665328
onehot__vehicle_owner_Owner,0.010034256825922606
onehot__driver_vehicle_relation_Employee,0.009453877161047328
onehot__weather_Raining,0.006904642055657098
onehot__vehicle_type_Unknown,0.0056481324562113215
onehot__vehicle_type_Other,0.005638677023149411
onehot__road_surface_Asphalt roads,0.005586707856667731
onehot__vehicle_type_Pickup,0.005088242474881858
onehot__vehicle_owner_Governmental,0.004025027104956545
onehot__driver_sex_Male,0.002793748078336402
onehot__vehicle_type_Motorcycle,0.002521524475630482
onehot__light_condition_Darkness - no lighting,0.002403062121757536
onehot__driver_sex_Female,0.0018579909104330596
onehot__road_surface_Earth roads,0.0017446231895577391
onehot__vehicle_owner_Organization,0.0016819639892590812
onehot__weather_Unknown,0.0015713553106195617
onehot__driver_vehicle_relation_Unknown,0.001521194900135894
onehot__road_surface_Gravel roads,0.0013759224752639835
onehot__vehicle_owner_Unknown,0.001311248960559116
onehot__vehicle_type_Taxi,0.0011539183185361281
onehot__road_surface_Asphalt roads with some distress,0.0010864453618673463
onehot__road_surface_Other,0.0005841725759322042
onehot__driver_vehicle_relation_Other,0.0005798471952726971
onehot__weather_Other,0.0005491082325263859
onehot__weather_Windy,0.0004640949164374132
onehot__driver_sex_Unknown,0.00042689093735953285
onehot__road_surface_Unknown,0.00041303891062643766
onehot__vehicle_defect_7,0.0001961701006099275
onehot__weather_Cloudy,0.0001574431277628306
onehot__vehicle_defect_5,0.00011798206936907844
onehot__light_condition_Darkness - lights unlit,9.361260421645588e-05
onehot__weather_Snow,9.017499548214838e-05
onehot__vehicle_type_Bajaj,8.757858328120472e-05
onehot__vehicle_type_Bicycle,5.320667457727675e-05
onehot__weather_Raining and Windy,1.9830920086589523e-05
onehot__vehicle_owner_Other,1.4236222596111882e-05
onehot__weather_Fog or mist,3.935637692213189e-06
