driver_age_band,driver_experience,time_of_day,driver_education,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_sex,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
18-30,1-2yr,Afternoon,Above high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,5-10yr,Night,Junior high school,Unknown,Public_transport,Normal,Earth roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Night,Junior high school,5-10yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Unknown,Normal,Unknown,Daylight,Male,Unknown,Unknown,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Unknown,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Above high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
31-50,No Licence,Afternoon,Above high school,Unknown,Automobile,Normal,Earth roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Serious Injury
18-30,5-10yr,Evening,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Elementary school,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Morning,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Under 18,2-5yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
18-30,2-5yr,Evening,Junior high school,Above 10yr,Taxi,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,2-5yrs,Unknown,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Afternoon,Unknown,Unknown,Unknown,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,Below 1yr,Afternoon,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Afternoon,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Evening,Junior high school,2-5yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Evening,Unknown,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,Unknown,Slight Injury
Over 51,Below 1yr,Afternoon,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,7,Slight Injury
31-50,Below 1yr,Afternoon,High school,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Evening,Unknown,5-10yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,5,Slight Injury
18-30,2-5yr,Evening,High school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Junior high school,Unknown,Public_transport,Normal,Gravel roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
31-50,1-2yr,Morning,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Morning,Unknown,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,High school,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
