driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
18-30,1-2yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,5-10yr,Night,Unknown,Public_transport,Normal,Earth roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Night,5-10yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Normal,Unknown,Daylight,Unknown,Unknown,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Automobile,Normal,Unknown,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Serious Injury
31-50,No Licence,Afternoon,Unknown,Automobile,Normal,Earth roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,5-10yr,Evening,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Morning,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Under 18,2-5yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
18-30,2-5yr,Evening,Above 10yr,Taxi,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,2-5yrs,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Afternoon,Unknown,Unknown,Normal,Asphalt roads,Daylight,Unknown,Unknown,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,Below 1yr,Afternoon,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Afternoon,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Evening,2-5yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Evening,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,Unknown,Slight Injury
Over 51,Below 1yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,7,Slight Injury
31-50,Below 1yr,Afternoon,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Evening,5-10yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,5,Slight Injury
18-30,2-5yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
